          #time              R       pressure    -rho*dphi*R             ux             uy             uz             vx             vy             vz
  0.9459695E-06  0.4258228E-01  0.3047198E+06  0.1700095E+06  0.0000000E+00  0.0000000E+00  0.1081379E-10  0.0000000E+00  0.0000000E+00  0.2055723E-04
  0.2000096E-05  0.4264722E-01  0.3029967E+06  0.1694552E+06  0.0000000E+00  0.0000000E+00  0.4332046E-10  0.0000000E+00  0.0000000E+00  0.4108350E-04
  0.3057439E-05  0.4271221E-01  0.3012848E+06  0.1689030E+06  0.0000000E+00  0.0000000E+00  0.9761991E-10  0.0000000E+00  0.0000000E+00  0.6157924E-04
  0.4118006E-05  0.4277724E-01  0.2995839E+06  0.1683529E+06  0.0000000E+00  0.0000000E+00  0.1738127E-09  0.0000000E+00  0.0000000E+00  0.8204489E-04
  0.5181805E-05  0.4284233E-01  0.2978940E+06  0.1678048E+06  0.0000000E+00  0.0000000E+00  0.2719998E-09  0.0000000E+00  0.0000000E+00  0.1024809E-03
  0.6248842E-05  0.4290747E-01  0.2962150E+06  0.1672588E+06  0.0000000E+00  0.0000000E+00  0.3922831E-09  0.0000000E+00  0.0000000E+00  0.1228876E-03
  0.7319126E-05  0.4297265E-01  0.2945467E+06  0.1667148E+06  0.0000000E+00  0.0000000E+00  0.5347640E-09  0.0000000E+00  0.0000000E+00  0.1432654E-03
  0.8392663E-05  0.4303789E-01  0.2928892E+06  0.1661729E+06  0.0000000E+00  0.0000000E+00  0.6995460E-09  0.0000000E+00  0.0000000E+00  0.1636149E-03
  0.9469461E-05  0.4310317E-01  0.2912424E+06  0.1656330E+06  0.0000000E+00  0.0000000E+00  0.8867322E-09  0.0000000E+00  0.0000000E+00  0.1839363E-03
  0.1054953E-04  0.4316851E-01  0.2896061E+06  0.1650951E+06  0.0000000E+00  0.0000000E+00  0.1096427E-08  0.0000000E+00  0.0000000E+00  0.2042302E-03
  0.1163287E-04  0.4323389E-01  0.2879803E+06  0.1645592E+06  0.0000000E+00  0.0000000E+00  0.1328734E-08  0.0000000E+00  0.0000000E+00  0.2244968E-03
  0.1271950E-04  0.4329932E-01  0.2863649E+06  0.1640253E+06  0.0000000E+00  0.0000000E+00  0.1583760E-08  0.0000000E+00  0.0000000E+00  0.2447367E-03
  0.1380941E-04  0.4336480E-01  0.2847599E+06  0.1634935E+06  0.0000000E+00  0.0000000E+00  0.1861610E-08  0.0000000E+00  0.0000000E+00  0.2649502E-03
