          #time       pressure             dp             vx             vy             vz             px             py             pz            dvx            dvy            dvz
   0.105495E-04   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.215316E-04   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.328487E-04   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.445085E-04   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.565187E-04   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.688870E-04   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.816214E-04   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.947299E-04   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.108221E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.122102E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.136382E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.151069E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.166171E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.181699E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.197659E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.214061E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.230914E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.248228E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.266010E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.284271E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.303019E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.322264E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.342017E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
   0.362285E-03   0.113720E+06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00  -0.980000E+04   0.000000E+00   0.000000E+00   0.000000E+00
